"rectangular_kernel_bandwidth_h","procedure","mean_bandwidth_1","mean_bandwidth_2","mean_bandwidth_5","mean_bandwidth_10","mean_bandwidth_50","mean_bandwidth_100","sd_bandwidth_1","sd_bandwidth_2","sd_bandwidth_5","sd_bandwidth_10","sd_bandwidth_50","sd_bandwidth_100"
"0.1","rhoALORD","0.520666","0.55068","0.588","0.59792","0.488688","0.378348","0.120488705681569","0.117767417040757","0.10734110215207","0.0998179841661627","0.117394960767834","0.121365332160321"
"0.1","rhoLORD","0.465314","0.526136","0.591206","0.616492","0.544308","0.45817","0.147008715932954","0.137782756224396","0.117595954202704","0.102714112734792","0.110381608730597","0.122115119089452"
"0.2","rhoALORD","0.696451","0.708842","0.719562","0.716949","0.640452","0.558794","0.0680315914023983","0.064947369862722","0.0608571977324916","0.0598025002228443","0.0749785160815242","0.0860761667051192"
"0.2","rhoLORD","0.65467","0.689775","0.715407","0.718322","0.668081","0.602838","0.0865323054355331","0.0752355329185708","0.0644115613529403","0.0592948218952579","0.0699137771302857","0.080837239079042"
"0.3","rhoALORD","0.780555333333333","0.786358","0.787492666666667","0.781106","0.728248666666667","0.666958","0.047324788097209","0.0465116586638381","0.045208036288905","0.0448101650568549","0.0546600447538574","0.0637149640203026"
"0.3","rhoLORD","0.736733333333333","0.758591333333333","0.77008","0.767256666666667","0.731021333333333","0.684692666666667","0.0553929814488707","0.0512090932225755","0.0463595090133961","0.0440025374280596","0.0520300856565294","0.0599880438317712"
"0.4","rhoALORD","0.8350025","0.8364085","0.833195","0.827693","0.786456","0.7442255","0.0365047360396611","0.0354904153921657","0.0352471447229575","0.0357860421824139","0.0424431408595147","0.0499255135721261"
"0.4","rhoLORD","0.779815","0.795224","0.8005865","0.798071","0.769746","0.737059","0.0416938798022119","0.038175850528264","0.0364301555496725","0.035940202125376","0.0407791218355394","0.0479704662846168"
"0.5","rhoALORD","0.8753708","0.8739028","0.8691816","0.8636984","0.832926","0.8046632","0.029096762182706","0.0285116369839466","0.028621015664958","0.0290027783764824","0.0340505869001817","0.0392341751258999"
"0.5","rhoLORD","0.8075712","0.8184404","0.8218308","0.819488","0.7970628","0.7744748","0.0337876766183934","0.0319980692461834","0.0306004609471984","0.0306333885890811","0.0343931845759378","0.0391165383861805"
"0.6","rhoALORD","0.907194","0.9053","0.899679333333333","0.894007","0.871298","0.852437333333333","0.0229668166497288","0.0233169926446868","0.0236534190429892","0.0236644824484021","0.0277147936084008","0.0310943453746155"
"0.6","rhoLORD","0.826734333333333","0.836393333333333","0.837648","0.834734333333333","0.817445","0.800966","0.0281281607904615","0.0268910113314249","0.026764357645853","0.0265100343575147","0.0298331262355547","0.033060895525499"
"0.7","rhoALORD","0.932671142857143","0.931211428571429","0.925682857142857","0.920946","0.904893142857143","0.893465142857143","0.0186678007084545","0.0186250376638091","0.0192911183547714","0.0195023665718717","0.0227863836312198","0.024779853265665"
"0.7","rhoLORD","0.841382285714286","0.849132","0.849812571428571","0.847073714285714","0.833103142857143","0.821685428571429","0.0245602843253976","0.0242739338742922","0.0237618822385997","0.0235771289907843","0.0263454429005078","0.0278278973650293"
"0.8","rhoALORD","0.954915","0.95355975","0.94928975","0.945888","0.93657225","0.92976175","0.0146137480190099","0.0146807393324803","0.0151233773209445","0.0157203266145105","0.0179260854452789","0.0194739065223448"
"0.8","rhoLORD","0.8531425","0.85886075","0.8595315","0.856999","0.84697725","0.8384075","0.0221336267586979","0.0215493717305099","0.0213714747208323","0.0215038133920251","0.0234236466879074","0.0249283440281058"
"0.9","rhoALORD","0.975693777777778","0.975011111111111","0.973064444444444","0.971515111111111","0.966274222222222","0.962552444444444","0.0105775436061106","0.0107847469548041","0.0112977969477876","0.0116554019034399","0.013158693085294","0.0140482966713111"
"0.9","rhoLORD","0.863079333333333","0.867644222222222","0.868089555555556","0.866465333333333","0.859093333333333","0.852875555555556","0.0198984525070306","0.0197989307533456","0.0194078440759332","0.0197525047524675","0.0209609905881402","0.0224497430288003"
"1","rhoALORD","0.9905064","0.9903924","0.9899126","0.989358","0.9879022","0.9870658","0.00633551678375899","0.00640653780232829","0.00656855203432102","0.00709445340578912","0.00787310826442609","0.00830851211092274"
"1","rhoLORD","0.871429","0.8747194","0.8754996","0.8745024","0.8699528","0.8656084","0.0184141539883512","0.0179912432067162","0.0181259387289454","0.0182344521103426","0.0192887266987162","0.0200145224162545"
